model,record_id,column,old_url,aws_key,status,error,replacement_url
Workshop,108,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1608319953/JourneyFootprints_worksheet.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,108,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1608319953/JourneyFootprints_worksheet.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,110,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1663699591/Flowers_With_Vase_.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,112,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1657734763/What_Is_Your_Heart_Story__qiajgr.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,113,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1657734763/What_Is_Your_Heart_Story__qiajgr.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,114,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1541092434/Feeling_Chart_Emojis_copy_k2eg7d.jpg,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,114,creation,http://res.cloudinary.com/a-window-between-worlds/image/upload/v1541092434/Feeling_Chart_Emojis_copy_k2eg7d.jpg,http://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDUyMywicHVyIjoiYmxvYl9pZCJ9fQ==--826e0560ff478712fe14df49f8941bb209736449/res.cloudinary.com
Workshop,114,materials_spanish,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1541092434/Feeling_Chart_Emojis_copy_k2eg7d.jpg,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,122,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1662664970/Star_Templates_.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,122,demonstration,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1662664970/Star_Templates_rweoaa.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
