id,workshopid,userid
1612,2833,4322
922,2820,1286
923,2744,4329
924,2538,4152
925,2536,4152
926,2528,4152
927,2698,4152
928,2816,4045
929,2580,4045
930,2821,4045
931,2777,4045
932,2738,4045
933,2665,3234
934,2684,999
935,2813,2169
936,2504,2169
937,2684,2169
938,2633,4263
939,2679,4332
940,2731,4045
941,2567,4045
942,2644,4045
943,2755,598
944,2582,4332
945,2557,4332
946,2821,1201
947,2555,1201
948,2567,1201
949,2688,1201
950,2724,1201
951,2724,4332
952,2723,4332
953,2683,4332
954,2682,4332
955,2520,4332
956,2783,4332
957,2643,4332
958,2768,4207
959,2816,4307
960,2558,4307
962,2669,659
963,2820,4586
965,2689,4307
966,2817,4332
967,2734,2160
968,2744,4702
1217,2818,1286
970,2778,4702
971,2504,4702
972,2556,2160
973,2536,4589
974,2727,4589
975,2735,4589
976,2670,4589
977,2538,4589
978,2703,4589
979,2824,2176
980,2819,3234
981,2812,3234
982,2823,3234
983,2814,3234
984,2767,3234
985,2748,3234
986,2736,3234
988,2666,4307
989,2646,4307
990,2679,4307
991,2800,4307
992,2776,4709
993,2620,4709
994,2525,4709
995,2606,4709
996,2616,4709
997,2751,4709
998,2757,4709
999,2813,4709
1000,2817,4709
1001,2720,4709
1002,2627,4709
1003,2547,4709
1004,2742,4709
1005,2544,2176
1006,2557,1563
1007,2742,2176
1008,2778,741
1009,2777,741
1010,2755,741
1011,2653,741
1012,2636,741
1013,2640,741
1014,2637,741
1015,2662,741
1016,2664,741
1017,2589,741
1018,2578,741
1019,2654,3234
1020,2580,3234
1021,2520,3234
1022,2717,3234
1023,2603,4709
1024,2684,4175
1027,2801,806
1028,2757,4589
1029,2505,1767
1030,2777,1767
1031,2818,2176
10201,2935,27019
1033,2812,4332
1034,2548,2207
1035,2826,1767
1036,2528,2169
1037,2547,4152
1038,2611,4781
1039,2624,4781
1040,2620,4781
1041,2607,4781
1042,2707,4781
1043,2558,4781
1044,2605,4781
1045,2814,4709
1046,2826,505
1047,2775,3983
1048,2616,4590
1049,2776,4907
7281,2678,13219
1051,2764,4875
1052,2776,4892
1053,2813,4892
1054,2757,4892
1055,2729,4892
1056,2727,4892
1057,2685,4892
1058,2684,4892
1059,2670,4892
1060,2630,4892
1061,2627,4892
1062,2626,4892
1063,2624,4892
1064,2599,4892
1065,2643,4871
1066,2831,1201
1067,2681,4844
1068,2772,4875
1069,2679,4875
7284,3020,10440
1071,2660,4875
1072,2777,4875
1073,2823,2204
1074,2582,4770
1075,2831,3234
1076,2816,4972
1077,2821,4972
1078,2726,4972
1079,2772,4972
1080,2783,4972
1081,2753,4972
1082,2576,4972
1083,2678,4972
1084,2724,4972
1085,2755,4972
1086,2738,4972
1087,2682,4972
1088,2756,4972
1089,2800,4972
1090,2758,4972
1091,2767,4972
1092,2805,4972
1094,2828,2176
1095,2633,3234
1096,2670,4975
1097,2811,4981
1098,2742,4981
1099,2712,4869
1100,2754,2143
1101,2788,3234
1102,2679,3234
1103,2682,4770
1104,2755,487
1105,2645,487
1106,2589,487
1107,2555,487
1108,2777,487
1109,2821,487
1110,2764,487
1111,2744,487
1112,2644,487
1113,2643,487
1114,2582,487
1115,2812,487
1116,2557,487
1117,2817,487
1118,2814,487
1119,2783,487
1120,2778,487
1121,2678,487
1122,2668,487
1123,2635,487
1124,2777,4870
1125,2633,4332
1126,2660,4332
1127,2821,4875
1128,2769,4589
1129,2737,4589
1130,2684,4589
1131,2650,4589
1132,2660,3234
1133,2817,3234
1134,2814,2149
1135,2821,4879
1136,2726,3234
1137,2632,3234
1138,2729,5034
1139,2757,4976
1140,2836,4175
1141,2832,4863
1142,2812,4258
1143,2679,4258
1144,2688,4258
1145,2755,4258
1146,2712,4258
1147,2636,4258
1148,2755,4873
1149,2750,4873
1150,2823,4873
1151,2821,4873
1152,2777,4873
1153,2773,4873
1154,2764,4873
1155,2738,4873
1156,2736,4873
1157,2799,4873
1158,2800,4873
1159,2723,4873
1160,2681,4873
1161,2646,4873
1162,2643,4873
1163,2640,4873
1164,2633,4873
1165,2663,4873
1166,2658,4873
1167,2656,4873
1168,2655,4873
1169,2582,4873
1170,2574,4873
1171,2567,4873
1172,2571,4873
1173,2555,4873
1174,2505,4873
1175,2519,4873
1176,2712,4873
1177,2713,4873
1178,2832,4873
1179,2817,4873
1180,2815,4873
1181,2814,4873
1182,2767,4873
1183,2679,4873
1184,2631,4873
1185,2665,4873
1187,2736,659
7282,3023,10440
1189,2818,4976
1190,2776,4976
1191,2707,4976
1192,2495,4976
1193,2732,4976
1194,2802,4976
1195,2726,4289
1196,2824,4276
1197,2814,5040
1198,2768,5040
1199,2582,5040
1200,2653,5040
1201,2497,4869
1202,2543,4976
1203,2536,4976
1204,2544,4976
1205,2679,4289
1206,2683,4289
1207,2815,4756
1208,2768,4756
1209,2731,4756
1210,2803,4756
1211,2656,4756
1212,2572,4756
1213,2566,4756
1214,2817,4756
1215,2596,2176
1216,2827,659
1218,2669,1286
1219,2523,1286
1220,2706,1286
1221,2603,1286
1222,2600,1286
1223,2536,5057
1224,2630,1501
1225,2742,4932
1226,2555,5107
1227,2576,5107
1228,2660,4869
1229,2837,3983
1230,2750,4872
1231,2816,3983
1232,2504,4872
1233,2655,4872
1234,2578,4289
1235,2697,4903
1236,2829,4589
1237,2803,4589
1238,2669,4589
1239,2627,4589
1240,2624,4589
1241,2623,4589
1242,2625,4589
1243,2616,4589
1244,2611,4589
1245,2610,4589
1246,2655,3234
1247,2799,4932
1248,2765,4932
1249,2802,4932
1250,2803,4932
1251,2681,5107
1252,2777,4869
1253,2832,4756
1254,2683,4756
1255,2502,505
1256,2819,621
1257,2813,487
1258,2688,4972
1259,2838,4827
1260,2813,4289
1262,2654,5107
1263,2837,5194
1264,2818,5102
1265,2776,5102
1266,2754,5102
1267,2751,5102
1268,2721,5102
1269,2687,4976
1270,2522,4289
1271,2803,4289
10232,2845,4768
1273,2569,4756
1274,2846,5195
1275,2766,5102
1276,2706,5102
1277,2602,5102
1278,2601,5102
1279,2597,5102
1280,2548,5102
1281,2817,5042
1282,2734,5042
1283,2644,5042
1284,2574,5042
1285,2587,5042
1286,2824,5042
1287,2846,5042
1288,2723,5042
1289,2579,5107
1290,2688,5107
2287,2609,5975
1292,2522,3983
1293,2715,5046
1294,2800,4990
1295,2765,4990
1296,2602,4990
1297,2799,5194
1298,2673,4990
1299,2585,5170
1300,2716,5170
1301,2845,4717
1302,2731,5107
1303,2728,5107
1304,2643,5107
1305,2845,5107
1306,2822,2207
1307,2810,5212
1308,2806,5212
1309,2729,5212
1310,2631,4289
1311,2643,4289
1312,2726,5107
1313,2835,1315
1314,2688,4307
1315,2692,1681
1316,2845,4756
1317,2582,4756
1318,2716,4756
7283,2987,10440
1320,2757,4588
1321,2567,5170
1322,2747,4717
1323,2502,4972
1324,2845,4972
1325,2505,4717
1326,2636,4717
1327,2657,4717
1328,2750,4717
1329,2772,4717
1330,2744,4717
1331,2812,4717
1332,2723,4717
1333,2644,4717
1334,2571,4717
2291,2806,5956
1336,2640,5170
1337,2842,5045
1338,2828,1501
1339,2815,4307
1340,2669,4926
1341,2691,4926
1342,2643,4972
1343,2521,4972
1344,2592,5259
1345,2810,5259
1346,2661,3166
1347,2777,3166
1348,2602,2149
1349,2845,5343
1350,2644,4869
1351,2771,5259
1352,2630,5259
1353,2756,5357
6595,2774,10429
1355,2812,5357
1356,2845,5357
1357,2679,4869
1358,2817,4869
1359,2669,1501
1360,2633,4142
1361,2660,4142
1362,2845,4873
1363,2772,4873
1364,2688,4873
1365,2846,4873
1366,2716,4972
1367,2744,4972
1368,2850,4589
1369,2849,4289
1370,2596,4244
1371,2517,4972
1372,2849,4892
1373,2657,5195
1374,2560,5195
1375,2843,5206
1376,2822,5206
1377,2810,5206
1378,2806,5206
1379,2782,5206
1380,2845,487
1381,2776,5206
6611,2776,10347
1383,2716,4892
1384,2817,5165
1385,2849,505
1386,2801,4756
1387,2636,5040
1388,2846,4972
1389,2801,5585
1390,2814,5585
1391,2803,5585
1392,2816,17
1393,2812,5510
1578,2716,5510
1584,2663,5510
1396,2723,5510
1397,2689,5510
